1BCzKfasEBNDovabT3Nn6mmPveNJ9F83uL -> totalcnt: 125, realcnt: 31, vericnt: 31, maxBias: 9, maxCnt: 1, rfound: False
19R67nKwHSHM69SqH7Sschkn1phT2Tqh5N -> totalcnt: 199, realcnt: 46, vericnt: 46, maxBias: 1, maxCnt: 0, rfound: False
1h7hesFLRRKHuVbVA6qDyKVj3UuTTAh6L -> totalcnt: 82, realcnt: 15, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
1AnH52yPzxKFNXWFPUgP8MG2bX9dk4nnx3 -> totalcnt: 56, realcnt: 8, vericnt: 8, maxBias: 1, maxCnt: 0, rfound: False
1CNNQmwvA1FdQJnMQQujgKPEjpnomgyreJ -> totalcnt: 203, realcnt: 51, vericnt: 50, maxBias: 1, maxCnt: 0, rfound: False
1BLP4JUYDC1jpVGLkjPsDmSniX6hT5DS3K -> totalcnt: 112, realcnt: 31, vericnt: 31, maxBias: 1, maxCnt: 0, rfound: False
1KA8Yd5ASios8iM5bCob248gV3X2qRUEyk -> totalcnt: 44, realcnt: 39, vericnt: 39, maxBias: 9, maxCnt: 1, rfound: False
16vABstEiYeNGjVp5t2QE7UTup8yhtKd8R -> totalcnt: 61, realcnt: 16, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
1K4ERG4HUYU3mxrmQR1Wz9r1VzVANAnBSt -> totalcnt: 71, realcnt: 23, vericnt: 23, maxBias: 1, maxCnt: 0, rfound: False
13vPx6Taknyo7rctCwhN5uCBPpz1cbYbWY -> totalcnt: 54, realcnt: 15, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
14sW7YynKFnwcZCBabYABV3RinExhZRh1U -> totalcnt: 97, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
19QTqR1XyryLCKKRo9zTkGprqooC4xnBLs -> totalcnt: 74, realcnt: 17, vericnt: 17, maxBias: 1, maxCnt: 0, rfound: False
19AjJjg3wUNGznaP1C4q3N4J9CaKrtvWKe -> totalcnt: 268, realcnt: 68, vericnt: 68, maxBias: 9, maxCnt: 2, rfound: False
1Evg3VVzxkJBKP6vFx5gwfxcpoVfk4oumw -> totalcnt: 54, realcnt: 17, vericnt: 17, maxBias: 1, maxCnt: 0, rfound: False
1LubtoxrcZfEH3byArx6EgeWoSnzu5zvQc -> totalcnt: 203, realcnt: 47, vericnt: 46, maxBias: 1, maxCnt: 0, rfound: False
162GYRdewSADMzsu9iqERo8bMRBfzr9uPN -> totalcnt: 116, realcnt: 35, vericnt: 35, maxBias: 1, maxCnt: 0, rfound: False
1FQpxNeS3duudPz2EFPVkDssu6SmVsWggu -> totalcnt: 265, realcnt: 74, vericnt: 74, maxBias: 1, maxCnt: 0, rfound: False
1CLARzVHqnPfPhxvjH1MNwfHwS3uaxG2x -> totalcnt: 86, realcnt: 19, vericnt: 19, maxBias: 9, maxCnt: 1, rfound: False
16c2LY21FZ5AdpRJt9ztsYytMWymtePGaR -> totalcnt: 97, realcnt: 28, vericnt: 28, maxBias: 1, maxCnt: 0, rfound: False
19MDz2vR3oGdFEa1Q8qVbaEdoQE7ew3UHr -> totalcnt: 86, realcnt: 20, vericnt: 20, maxBias: 1, maxCnt: 0, rfound: False
13RJ8FLVa3dTPpJrifnotsjuvesVbTYqZK -> totalcnt: 108, realcnt: 21, vericnt: 21, maxBias: 1, maxCnt: 0, rfound: False
1FskeHkysUY1YSmhiwSZV4mwEd4qZ4VEtC -> totalcnt: 137, realcnt: 34, vericnt: 34, maxBias: 1, maxCnt: 0, rfound: False
14W4X4tEnhC7c19Nu6HnfRKXcjw411DFxS -> totalcnt: 42, realcnt: 9, vericnt: 9, maxBias: 1, maxCnt: 0, rfound: False
1bCXvzwUiv3hz44wNpDrZP3oE74dton76 -> totalcnt: 73, realcnt: 15, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
16c98jjrG4oZSZJYob19ZUA72VU6E5UTNg -> totalcnt: 92, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
14pTT2xfeFDc7gPqXGNydn37xrFYcAMsWK -> totalcnt: 103, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
1B3HC7Gft6Fnh4EVsA2DrRdXrWZA1oHELR -> totalcnt: 550, realcnt: 550, vericnt: 550, maxBias: 9, maxCnt: 2, rfound: False
13TWnBKuHPeUTkgyvf4uqF6nDJLM4QAzwD -> totalcnt: 106, realcnt: 27, vericnt: 27, maxBias: 1, maxCnt: 0, rfound: False
18Eo25ohLLcj2HkBSoTibZLzH2yYSYH1dU -> totalcnt: 39, realcnt: 9, vericnt: 8, maxBias: 1, maxCnt: 0, rfound: False
1G1QhAJUEr2uRF1XBmh2YNKSazdMP3QtR -> totalcnt: 927, realcnt: 214, vericnt: 213, maxBias: 1, maxCnt: 0, rfound: False
18CUaepqDiVFMKsfXUXhQi4ULFaCfTbVuJ -> totalcnt: 222, realcnt: 63, vericnt: 63, maxBias: 9, maxCnt: 1, rfound: False
1DVjRT2fUGnPDTtPddMAxVbRYdiH77eH7e -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1G96YvF5WKQouJzL42bWT78pHhwbDSfFRd -> totalcnt: 57, realcnt: 8, vericnt: 8, maxBias: 1, maxCnt: 0, rfound: False
19UzGkUFTxVXScRHT8C8VkeY4poHpKpm8B -> totalcnt: 47, realcnt: 12, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
1LMPwebLcANbnKD5dt3wo5bsoNiXumDasV -> totalcnt: 244, realcnt: 57, vericnt: 57, maxBias: 1, maxCnt: 0, rfound: False
