1GBtzWtp3ADaWVeFVamq6ZE4oiZXhv8jxR -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1PUnHKYUNmDqSEikUTzi9fcQLYLJUbb5GH -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1HRUQ26uLaa4ZCCkRpSPSoZbhMJF6TXAWN -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1MVgZWjV2kE8XNjXVE1GaF3DNp4iFGGmTA -> totalcnt: 94, realcnt: 23, vericnt: 23, maxBias: 1, maxCnt: 0, rfound: False
1DtEQp9JUgURhKTWjM6j8m2XFSweDQHLiy -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1JcBRUjEk8zoesxbc2XcoFihqX9fH55cTo -> totalcnt: 9, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1DFjcf54h2hV9Go7hMNYHUFTGmtH9Da2yw -> totalcnt: 122, realcnt: 23, vericnt: 22, maxBias: 1, maxCnt: 0, rfound: False
1MGv7AXXi4scXQ14mb76Xh74Xtsh68FvUA -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1qUgrRdgUBvzszujUkJhd4ikAgRNipznX -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1JG1MQy5sb1xTuJnmUN4GuxxUSCaBuSWyg -> totalcnt: 11, realcnt: 4, vericnt: 4, maxBias: 1, maxCnt: 0, rfound: False
16E9F5gyMu8F3gizbTL62ZcpwceN3fJHvR -> totalcnt: 129, realcnt: 40, vericnt: 40, maxBias: 1, maxCnt: 0, rfound: False
1BupXbh86hspVvvmx7hSBjxdnUVB9f78Za -> totalcnt: 222, realcnt: 52, vericnt: 52, maxBias: 1, maxCnt: 0, rfound: False
13sHYw2U7BNmUTRt4E4a9aJVQzpg8gEie9 -> totalcnt: 54, realcnt: 13, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
1AXephZ5QAH83npBDpR2WTbjs2r5VhUHmP -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1KRPgGSoZQkQzzEZBvfNqLa1BBFCCd7tnH -> totalcnt: 204, realcnt: 51, vericnt: 49, maxBias: 9, maxCnt: 1, rfound: False
1utS8TsCVXY1pdtvSJTtKtSvQ3FRVGudq -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
15pP7PmRXGETTAWf3MvbDRWHj1mPtGeeEq -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1HPoZzz1FppXn3gSRnnXN2gPkxddD3fdR6 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1ExkzHFapY9tRyP8KXM6tkveebiXBVJsLM -> totalcnt: 36, realcnt: 2, vericnt: 2, maxBias: 1, maxCnt: 0, rfound: False
1BM88vhwug99tHN9aVZrX1NhneQQ3PrDud -> totalcnt: 4, realcnt: 1, vericnt: 1, maxBias: 1, maxCnt: 0, rfound: False
